google_index,page_rank,web_traffic,nb_hyperlinks,length_url,status
1,4,0,17,37,0
1,2,0,30,77,1
1,0,5828815,4,126,1
0,3,107721,149,18,0
0,6,8725,102,55,0
1,0,0,10,32,1
0,1,0,98,19,0
1,2,0,30,81,1
0,5,0,63,42,0
0,5,6774,140,104,0
0,2,1627089,15,56,0
0,6,944,88,43,0
0,4,158942,325,83,0
1,4,1173197,3,31,1
0,2,4297684,211,25,0
0,4,0,50,51,1
0,4,99386,125,31,0
1,0,0,23,50,1
1,0,0,0,34,1
0,2,927214,219,27,0
0,5,26017,147,63,0
0,6,1040,77,66,0
1,0,0,13,40,1
0,4,4672316,59,48,0
1,0,5707171,51,126,1
1,5,0,21,41,1
0,4,2203390,115,36,0
0,5,5964,68,72,0
1,0,5707171,51,68,1
1,0,0,31,163,1
0,4,390047,95,26,0
1,1,0,36,64,1
1,5,0,21,36,1
1,0,9264543,3,61,1
0,7,13,105,66,0
0,4,0,16,35,0
0,2,0,417,113,1
0,8,0,27,41,0
0,3,74862,160,23,0
0,7,5828226,183,31,0
1,1,0,23,84,1
1,4,544886,1,29,1
1,2,0,22,98,1
0,2,1671658,35,15,0
0,7,7698,265,65,0
1,4,0,26,131,1
0,6,607,279,50,0
1,0,0,7,51,1
0,6,6431,420,45,0
1,0,0,13,159,1
1,6,11657,43,44,1
1,2,1508317,64,103,1
1,5,0,0,46,1
0,7,12,253,45,0
1,2,0,91,51,1
1,0,0,184,38,1
1,2,0,30,81,1
0,5,2190,83,112,0
0,10,1,27,39,1
1,10,1,27,99,1
1,4,2203390,118,45,0
1,5,0,21,60,1
0,5,4053,0,74,0
0,4,6010,54,61,0
0,5,0,0,40,1
1,1,0,0,52,1
1,10,1,1,88,1
0,5,24587,167,74,0
1,7,827,849,46,0
0,4,1680566,0,54,0
1,0,0,5,54,1
1,7,12,385,38,0
0,6,1294,212,67,0
1,0,0,0,62,1
1,0,0,13,59,1
1,4,7048,0,57,1
0,3,8400,44,32,0
1,1,0,0,46,1
0,7,12,199,37,0
1,5,0,14,36,1
1,2,8238037,1,52,1
1,5,0,5,32,1
0,10,63,25,34,0
0,2,479698,33,27,0
1,1,0,11,92,1
0,5,43102,148,102,0
0,3,2426481,181,32,0
0,3,0,81,29,0
1,4,0,98,119,1
0,4,3862928,129,59,0
0,4,128132,98,54,0
1,0,0,45,151,1
0,4,52436,38,84,0
1,2,1080262,41,55,1
0,2,294723,437,18,0
0,10,8,137,39,0
0,3,381695,218,28,0
0,5,86462,31,32,0
0,2,2346124,139,16,0
1,0,0,0,23,1
0,4,0,104,29,0
0,0,0,124,29,1
0,5,44445,65,41,0
1,9,3523,16,22,1
1,0,0,2,52,1
1,2,9412550,1,38,1
0,2,0,77,30,0
1,0,5707171,51,76,1
1,0,0,21,430,1
1,4,212735,38,37,0
0,6,545,61,73,0
1,0,0,0,56,1
1,5,12180,52,70,0
1,5,0,0,70,1
1,5,241891,83,52,0
0,2,3913090,24,31,0
1,1,0,52,90,1
0,3,2272,315,45,0
0,4,145276,77,55,0
1,0,0,5,65,1
1,2,4669,184,41,1
1,0,0,582,71,1
1,10,1,10,83,1
1,0,0,14,73,1
1,0,0,4,44,1
0,3,819233,1,114,1
1,0,5697976,51,127,1
0,0,0,32,99,1
1,1,0,38,56,1
1,7,2788,147,51,0
1,0,0,4,51,1
0,3,1166803,98,40,0
1,1,5692030,145,33,1
0,5,88431,296,88,0
0,7,5488,161,122,0
0,4,188662,53,53,0
1,1,23941,3,46,1
1,5,0,14,36,1
0,4,3847776,64,31,0
0,5,299694,154,48,0
1,2,0,38,101,1
0,3,435027,0,41,0
1,0,0,1,43,1
0,2,0,0,15,0
1,4,1677903,37,42,0
0,5,225825,157,51,0
1,0,0,0,48,1
0,5,81846,209,49,0
0,1,0,22,25,1
0,7,121,326,49,0
0,5,1577,141,48,0
1,0,0,10,108,1
1,0,0,0,39,1
1,4,1137149,146,80,0
1,4,2368410,60,36,0
0,4,1119897,416,28,0
1,3,4365,8,33,1
0,4,7600,168,23,0
0,8,137,319,77,0
1,2,1554194,31,342,1
1,2,0,3,38,1
1,5,38365,148,73,0
0,10,2,53,33,0
1,2,7811868,0,67,1
1,5,15489,72,39,0
0,4,219358,323,24,0
0,3,543542,53,26,0
0,6,21542,0,39,0
1,0,0,0,62,1
1,1,507771,41,41,1
1,5,0,14,40,1
0,3,632334,8,51,0
1,5,7053,665,59,0
0,6,2580,77,50,0
1,0,0,103,52,1
1,0,0,21,43,1
1,3,0,57,94,1
0,3,62284,77,60,0
0,2,1111694,105,18,0
0,7,892,12,204,1
0,10,1,1,94,1
1,0,0,20,41,1
1,0,0,45,19,1
1,0,0,0,35,1
1,2,0,23,63,1
1,0,0,0,53,1
1,5,0,21,75,1
1,3,0,24,35,1
0,10,1,0,210,1
0,5,128305,109,44,0
1,0,0,8,150,1
1,2,0,0,39,1
1,2,6240092,33,64,1
0,3,4701900,0,106,1
0,0,5496959,52,34,1
0,7,12,822,65,0
1,2,10725245,33,60,1
1,0,0,7,25,1
0,5,11507,182,39,0
0,4,207904,335,38,0
1,0,9675493,11,129,1
0,5,18386,280,52,0
1,0,0,0,30,1
0,8,0,105,33,0
0,4,0,8,118,0
0,2,8571696,58,27,0
0,6,1465,0,78,0
1,2,0,7,35,1
1,0,5497323,140,32,1
1,5,0,22,64,1
1,2,0,3,38,1
0,4,179875,67,24,0
0,5,24047,49,68,0
1,0,5707171,51,126,1
0,7,12,339,41,0
0,7,13,215,48,0
0,2,0,9,29,0
0,2,1168093,72,24,0
0,7,193,1294,50,0
1,0,5697976,51,126,1
0,6,5781,177,39,0
1,0,0,88,102,1
0,2,0,46,31,0
1,0,0,0,86,1
0,4,4211,259,78,0
0,2,7290834,138,29,0
0,8,70,579,33,0
0,0,0,8,27,1
0,2,373207,24,24,0
0,4,83476,226,39,0
0,4,0,128,28,0
0,5,0,224,102,1
1,4,124314,1041,43,0
0,4,199026,33,27,0
0,7,962,48,101,0
0,4,1323034,43,60,0
0,4,98458,452,38,0
1,0,0,0,19,1
1,5,376041,74,137,0
1,0,0,0,263,1
1,9,3536,44,22,1
1,0,0,25,89,1
0,3,2487034,58,28,0
0,5,1577,139,49,0
1,5,0,22,45,1
0,2,0,197,30,1
1,2,9820235,0,54,1
0,2,0,26,29,0
1,2,0,6,86,1
1,0,0,0,26,1
0,7,146,171,83,0
1,0,9657236,4,49,1
0,8,70,555,33,0
0,6,692,115,40,0
1,5,25617,176,56,0
0,2,2192611,162,27,0
0,3,151781,114,70,0
1,0,0,0,128,1
1,6,0,0,25,1
0,10,8,147,33,0
0,7,258,177,52,0
0,5,19471,357,31,0
1,5,0,15,41,1
0,2,4222108,27,33,0
1,0,0,0,32,1
0,1,0,17,66,0
0,6,9424,35,85,0
0,7,12,898,52,0
0,5,17917,30,109,0
0,4,456652,120,84,0
0,10,1,1,110,1
1,0,3898136,13,171,1
0,3,1860135,10,17,0
0,2,3080310,40,19,0
1,0,0,1,98,1
1,4,3704884,13,32,1
0,4,5759582,131,28,0
1,3,17964,1,64,1
0,7,12,589,40,0
1,4,0,26,132,1
1,4,0,7,124,1
1,2,0,22,51,1
1,0,0,50,141,1
1,0,5707171,51,126,1
0,1,0,14,21,0
1,5,173087,5,53,0
0,3,0,90,27,0
1,0,0,51,76,1
1,4,3807718,58,79,0
1,2,0,30,77,1
0,2,3198502,129,35,0
0,5,74297,192,56,0
1,5,549152,0,49,0
0,5,114612,241,41,0
1,0,0,30,84,1
0,5,891412,29,29,0
0,3,405272,264,21,0
0,5,126063,31,35,0
0,3,642658,18,28,0
0,3,2656129,58,97,1
0,0,0,0,36,1
1,4,1489770,104,63,0
0,2,2742704,68,24,0
1,5,0,14,40,1
1,0,0,58,85,1
1,5,0,83,56,1
1,0,0,7,49,1
1,0,0,13,23,1
1,0,0,22,64,1
1,0,6985854,36,46,1
1,0,0,9,36,1
0,4,3369493,37,29,0
1,0,0,103,55,1
0,6,683,288,45,0
0,4,1120148,129,33,0
1,0,0,15,231,1
1,0,0,4,30,1
0,4,581257,72,31,0
0,3,0,7,27,0
1,2,0,30,81,1
0,6,0,101,58,0
0,5,1726750,81,28,0
0,5,286071,316,25,0
1,0,0,107,87,1
1,7,0,47,28,0
1,6,4922,3,133,0
0,4,353666,64,26,0
1,1,0,89,36,1
0,1,785858,12,29,1
1,5,0,14,37,1
0,4,1371632,138,33,0
0,6,184,271,47,0
0,5,15139,36,26,0
1,1,0,9,93,1
0,6,3016,99,44,0
1,0,0,4,34,1
0,4,156610,78,63,0
1,5,0,19,56,1
1,5,0,0,28,1
0,5,625153,16,51,0
1,3,0,185,50,1
0,5,54169,3,70,0
0,4,4254948,21,41,0
0,5,1156,101,74,0
0,3,5075341,152,26,0
0,4,56400,159,114,0
1,2,641733,85,49,1
0,2,7358750,21,26,0
0,8,183,61,42,0
0,2,7246656,107,28,0
0,5,75756,1,29,0
1,3,1316122,92,32,0
1,4,0,84,34,1
1,0,0,0,51,1
0,6,4058,142,78,0
1,0,0,86,43,1
1,4,0,7,154,1
0,3,270265,277,35,0
0,2,0,31,54,0
0,0,0,46,35,0
0,3,3205318,0,25,0
0,0,0,64,27,0
1,0,0,25,61,1
1,4,2421611,17,41,1
1,0,0,6,47,1
0,0,0,25,19,0
0,5,10819,1,38,0
0,2,3345571,173,64,0
1,3,0,216,271,1
1,0,0,12,50,1
0,4,19148,226,80,0
1,0,0,10,67,1
1,4,0,11,282,1
1,4,0,7,144,1
1,0,0,18,52,1
0,5,184970,152,28,0
0,6,2595,62,50,0
1,0,4219048,1,60,0
0,8,136,193,87,0
1,0,0,151,35,1
1,0,0,0,102,1
0,4,204574,57,63,0
1,2,0,0,36,1
0,4,148721,70,21,0
0,5,21,0,238,1
0,0,0,79,36,1
0,3,225794,50,38,0
1,0,0,36,88,1
1,1,1760637,103,29,1
1,0,0,0,27,1
1,10,1,25,101,1
0,2,4639934,206,18,0
0,1,0,8,27,1
1,10,1,1,28,0
0,2,0,34,36,1
0,5,97473,80,53,0
1,3,0,178,66,1
1,5,0,14,35,1
1,6,957082,10,27,1
0,0,0,76,21,1
0,6,12752,139,123,0
1,5,4971141,25,47,0
0,4,20776,99,59,0
1,4,0,56,15,1
0,3,2401049,71,26,0
1,5,0,18,82,1
0,5,3181,101,77,0
1,3,0,265,38,1
1,5,0,14,39,1
1,7,1103,377,42,0
0,3,141041,97,33,0
1,5,0,11,53,1
0,2,1803451,24,44,0
0,3,3571542,48,23,0
0,2,0,35,17,0
0,1,1523869,14,26,0
1,0,5697976,51,129,1
1,2,0,23,42,1
1,5,6923,206,52,0
0,1,1306556,12,27,0
0,3,2320,291,43,0
0,5,283040,174,28,0
1,5,90170,0,97,0
0,2,5403,11,28,1
0,1,9329560,156,27,0
1,0,0,45,35,1
0,5,65933,197,62,0
1,0,5816617,4,127,1
1,1,1052987,12,29,1
1,5,31358,2,33,1
